# file created by code in factory_simulation_2.jl
# file created on 2022-11-25 at 12:37:35
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
    7086.010,   642,Finish(2),before,   2,   6,   4,   1,   1
    7086.010,   642,Finish(2), after,   3,   6,   3,   1,   1
    7095.754,   647,Finish(2),before,   2,   6,   3,   1,   1
    7095.754,   647,Finish(2), after,   3,   6,   2,   1,   1
    7098.950,   644,Finish(1),before,   2,   6,   2,   1,   1
    7098.950,   644,Finish(1), after,   3,   5,   3,   1,   1
    7123.950,   651,Finish(1),before,   2,   5,   3,   1,   1
    7123.950,   651,Finish(1), after,   3,   4,   4,   1,   1
    7132.763,   645,  Arrival,before,   2,   4,   4,   1,   1
    7132.763,   645,  Arrival, after,   3,   5,   4,   1,   1
    7145.464,   654,  Arrival,before,   2,   5,   4,   1,   1
    7145.464,   654,  Arrival, after,   3,   6,   4,   1,   1
    7148.950,   653,Finish(1),before,   2,   6,   4,   1,   1
    7148.950,   653,Finish(1), after,   3,   6,   4,   1,   1
    7210.545,   649,Finish(2),before,   2,   6,   4,   1,   1
    7210.545,   649,Finish(2), after,   3,   6,   3,   1,   1
    7210.545,   653,Finish(1),before,   2,   6,   3,   1,   1
    7210.545,   653,Finish(1), after,   3,   5,   4,   1,   1
    7214.391,   658,Finish(2),before,   2,   5,   4,   1,   1
    7214.391,   658,Finish(2), after,   3,   5,   3,   1,   1
    7235.545,   660,Finish(1),before,   2,   5,   3,   1,   1
    7235.545,   660,Finish(1), after,   3,   4,   4,   1,   1
    7260.545,   664,Finish(1),before,   2,   4,   4,   1,   1
    7260.545,   664,Finish(1), after,   3,   4,   4,   1,   1
    7310.709,   655,  Arrival,before,   2,   4,   4,   1,   1
    7310.709,   655,  Arrival, after,   3,   5,   4,   1,   1
    7310.709,   664,Finish(1),before,   2,   5,   4,   1,   1
    7310.709,   664,Finish(1), after,   3,   5,   4,   1,   1
    7358.556,   662,Finish(2),before,   2,   5,   4,   1,   1
    7358.556,   662,Finish(2), after,   3,   5,   3,   1,   1
    7358.556,   664,Finish(1),before,   2,   5,   3,   1,   1
    7358.556,   664,Finish(1), after,   3,   4,   4,   1,   1
    7383.556,   671,Finish(1),before,   2,   4,   4,   1,   1
    7383.556,   671,Finish(1), after,   3,   4,   4,   1,   1
    7396.596,   666,  Arrival,before,   2,   4,   4,   1,   1
    7396.596,   666,  Arrival, after,   3,   5,   4,   1,   1
    7396.596,   671,Finish(1),before,   2,   5,   4,   1,   1
    7396.596,   671,Finish(1), after,   3,   5,   4,   1,   1
    7403.776,   669,Finish(2),before,   2,   5,   4,   1,   1
    7403.776,   669,Finish(2), after,   3,   5,   3,   1,   1
    7403.776,   671,Finish(1),before,   2,   5,   3,   1,   1
    7403.776,   671,Finish(1), after,   3,   4,   4,   1,   1
    7410.391,   673,  Arrival,before,   2,   4,   4,   1,   1
    7410.391,   673,  Arrival, after,   3,   5,   4,   1,   1
    7416.184,   676,Finish(2),before,   2,   5,   4,   1,   1
    7416.184,   676,Finish(2), after,   3,   5,   3,   1,   1
    7428.776,   678,Finish(1),before,   2,   5,   3,   1,   1
    7428.776,   678,Finish(1), after,   3,   4,   4,   1,   1
    7430.307,   681,Finish(2),before,   2,   4,   4,   1,   1
    7430.307,   681,Finish(2), after,   3,   4,   3,   1,   1
    7453.776,   683,Finish(1),before,   2,   4,   3,   1,   1
    7453.776,   683,Finish(1), after,   3,   3,   4,   1,   1
    7478.776,   687,Finish(1),before,   2,   3,   4,   1,   1
    7478.776,   687,Finish(1), after,   3,   3,   4,   1,   1
    7479.592,   679,  Arrival,before,   2,   3,   4,   1,   1
    7479.592,   679,  Arrival, after,   3,   4,   4,   1,   1
    7479.592,   687,Finish(1),before,   2,   4,   4,   1,   1
    7479.592,   687,Finish(1), after,   3,   4,   4,   1,   1
    7536.300,   689,  Arrival,before,   2,   4,   4,   1,   1
    7536.300,   689,  Arrival, after,   3,   5,   4,   1,   1
    7536.300,   687,Finish(1),before,   2,   5,   4,   1,   1
    7536.300,   687,Finish(1), after,   3,   5,   4,   1,   1
    7557.774,   691,  Arrival,before,   2,   5,   4,   1,   1
    7557.774,   691,  Arrival, after,   3,   6,   4,   1,   1
    7557.774,   687,Finish(1),before,   2,   6,   4,   1,   1
    7557.774,   687,Finish(1), after,   3,   6,   4,   1,   1
    7616.516,   685,Finish(2),before,   2,   6,   4,   1,   1
    7616.516,   685,Finish(2), after,   3,   6,   3,   1,   1
    7616.516,   687,Finish(1),before,   2,   6,   3,   1,   1
    7616.516,   687,Finish(1), after,   3,   5,   4,   1,   1
    7633.039,   693,  Arrival,before,   2,   5,   4,   1,   1
    7633.039,   693,  Arrival, after,   3,   6,   4,   1,   1
    7641.516,   698,Finish(1),before,   2,   6,   4,   1,   1
    7641.516,   698,Finish(1), after,   3,   6,   4,   1,   1
    7660.252,   696,Finish(2),before,   2,   6,   4,   1,   1
    7660.252,   696,Finish(2), after,   3,   6,   3,   1,   1
    7660.252,   698,Finish(1),before,   2,   6,   3,   1,   1
    7660.252,   698,Finish(1), after,   3,   5,   4,   1,   1
    7685.252,   704,Finish(1),before,   2,   5,   4,   1,   1
    7685.252,   704,Finish(1), after,   3,   5,   4,   1,   1
    7706.616,   702,Finish(2),before,   2,   5,   4,   1,   1
    7706.616,   702,Finish(2), after,   3,   5,   3,   1,   1
    7706.616,   704,Finish(1),before,   2,   5,   3,   1,   1
    7706.616,   704,Finish(1), after,   3,   4,   4,   1,   1
    7731.616,   709,Finish(1),before,   2,   4,   4,   1,   1
    7731.616,   709,Finish(1), after,   3,   4,   4,   1,   1
    7815.015,   707,Finish(2),before,   2,   4,   4,   1,   1
    7815.015,   707,Finish(2), after,   3,   4,   3,   1,   1
    7815.015,   709,Finish(1),before,   2,   4,   3,   1,   1
    7815.015,   709,Finish(1), after,   3,   3,   4,   1,   1
    7815.647,   712,Finish(2),before,   2,   3,   4,   1,   1
    7815.647,   712,Finish(2), after,   3,   3,   3,   1,   1
    7839.539,   716,Finish(2),before,   2,   3,   3,   1,   1
    7839.539,   716,Finish(2), after,   3,   3,   2,   1,   1
    7840.015,   714,Finish(1),before,   2,   3,   2,   1,   1
    7840.015,   714,Finish(1), after,   3,   2,   3,   1,   1
    7858.178,   718,Finish(2),before,   2,   2,   3,   1,   1
    7858.178,   718,Finish(2), after,   3,   2,   2,   1,   1
    7865.015,   720,Finish(1),before,   2,   2,   2,   1,   1
    7865.015,   720,Finish(1), after,   3,   1,   3,   1,   1
    7890.015,   724,Finish(1),before,   2,   1,   3,   1,   1
    7890.015,   724,Finish(1), after,   3,   0,   4,   1,   1
    7907.804,   722,Finish(2),before,   2,   0,   4,   1,   1
    7907.804,   722,Finish(2), after,   3,   0,   3,   1,   1
    7915.015,   726,Finish(1),before,   2,   0,   3,   1,   1
    7915.015,   726,Finish(1), after,   2,   0,   4,   0,   1
    7916.657,   699,  Arrival,before,   1,   0,   4,   0,   1
    7916.657,   699,  Arrival, after,   3,   0,   4,   1,   1
    7941.657,   731,Finish(1),before,   2,   0,   4,   1,   1
    7941.657,   731,Finish(1), after,   3,   0,   4,   1,   1
    8016.907,   728,Finish(2),before,   2,   0,   4,   1,   1
    8016.907,   728,Finish(2), after,   3,   0,   3,   1,   1
    8016.907,   731,Finish(1),before,   2,   0,   3,   1,   1
    8016.907,   731,Finish(1), after,   2,   0,   4,   0,   1
    8080.413,   734,Finish(2),before,   1,   0,   4,   0,   1
    8080.413,   734,Finish(2), after,   2,   0,   3,   0,   1
    8197.295,   730,  Arrival,before,   1,   0,   3,   0,   1
    8197.295,   730,  Arrival, after,   3,   0,   3,   1,   1
    8222.295,   739,Finish(1),before,   2,   0,   3,   1,   1
    8222.295,   739,Finish(1), after,   2,   0,   4,   0,   1
    8253.232,   737,Finish(2),before,   1,   0,   4,   0,   1
    8253.232,   737,Finish(2), after,   2,   0,   3,   0,   1
    8320.352,   742,Finish(2),before,   1,   0,   3,   0,   1
    8320.352,   742,Finish(2), after,   2,   0,   2,   0,   1
    8337.539,   744,Finish(2),before,   1,   0,   2,   0,   1
    8337.539,   744,Finish(2), after,   2,   0,   1,   0,   1
    8346.844,   746,Finish(2),before,   1,   0,   1,   0,   1
    8346.844,   746,Finish(2), after,   2,   0,   0,   0,   1
    8361.838,   748,Finish(2),before,   1,   0,   0,   0,   1
    8361.838,   748,Finish(2), after,   1,   0,   0,   0,   0
    8379.064,   738,  Arrival,before,   0,   0,   0,   0,   0
    8379.064,   738,  Arrival, after,   2,   0,   0,   1,   0
    8382.352,   750,  Arrival,before,   1,   0,   0,   1,   0
    8382.352,   750,  Arrival, after,   2,   1,   0,   1,   0
    8404.064,   751,Finish(1),before,   1,   1,   0,   1,   0
    8404.064,   751,Finish(1), after,   3,   0,   0,   1,   1
    8429.064,   754,Finish(1),before,   2,   0,   0,   1,   1
    8429.064,   754,Finish(1), after,   2,   0,   1,   0,   1
    8478.853,   755,Finish(2),before,   1,   0,   1,   0,   1
    8478.853,   755,Finish(2), after,   2,   0,   0,   0,   1
    8487.799,   758,Finish(2),before,   1,   0,   0,   0,   1
    8487.799,   758,Finish(2), after,   1,   0,   0,   0,   0
    8717.976,   752,  Arrival,before,   0,   0,   0,   0,   0
    8717.976,   752,  Arrival, after,   2,   0,   0,   1,   0
    8742.976,   761,Finish(1),before,   1,   0,   0,   1,   0
    8742.976,   761,Finish(1), after,   2,   0,   0,   0,   1
    8757.167,   763,Finish(2),before,   1,   0,   0,   0,   1
    8757.167,   763,Finish(2), after,   1,   0,   0,   0,   0
    8776.235,   760,  Arrival,before,   0,   0,   0,   0,   0
    8776.235,   760,  Arrival, after,   2,   0,   0,   1,   0
    8784.465,   765,  Arrival,before,   1,   0,   0,   1,   0
    8784.465,   765,  Arrival, after,   2,   1,   0,   1,   0
    8801.235,   766,Finish(1),before,   1,   1,   0,   1,   0
    8801.235,   766,Finish(1), after,   3,   0,   0,   1,   1
    8812.005,   770,Finish(2),before,   2,   0,   0,   1,   1
    8812.005,   770,Finish(2), after,   2,   0,   0,   1,   0
    8826.235,   769,Finish(1),before,   1,   0,   0,   1,   0
    8826.235,   769,Finish(1), after,   2,   0,   0,   0,   1
    8852.863,   767,  Arrival,before,   1,   0,   0,   0,   1
    8852.863,   767,  Arrival, after,   3,   0,   0,   1,   1
    8861.731,   773,Finish(2),before,   2,   0,   0,   1,   1
    8861.731,   773,Finish(2), after,   2,   0,   0,   1,   0
    8877.863,   775,Finish(1),before,   1,   0,   0,   1,   0
    8877.863,   775,Finish(1), after,   2,   0,   0,   0,   1
    8898.066,   778,Finish(2),before,   1,   0,   0,   0,   1
    8898.066,   778,Finish(2), after,   1,   0,   0,   0,   0
    9044.719,   774,  Arrival,before,   0,   0,   0,   0,   0
    9044.719,   774,  Arrival, after,   2,   0,   0,   1,   0
    9069.719,   781,Finish(1),before,   1,   0,   0,   1,   0
    9069.719,   781,Finish(1), after,   2,   0,   0,   0,   1
    9161.144,   783,Finish(2),before,   1,   0,   0,   0,   1
    9161.144,   783,Finish(2), after,   1,   0,   0,   0,   0
    9174.960,   780,  Arrival,before,   0,   0,   0,   0,   0
    9174.960,   780,  Arrival, after,   2,   0,   0,   1,   0
    9199.960,   786,Finish(1),before,   1,   0,   0,   1,   0
    9199.960,   786,Finish(1), after,   2,   0,   0,   0,   1
    9232.537,   785,  Arrival,before,   1,   0,   0,   0,   1
    9232.537,   785,  Arrival, after,   3,   0,   0,   1,   1
    9257.012,   789,  Arrival,before,   2,   0,   0,   1,   1
    9257.012,   789,  Arrival, after,   3,   1,   0,   1,   1
    9257.537,   790,Finish(1),before,   2,   1,   0,   1,   1
    9257.537,   790,Finish(1), after,   3,   0,   1,   1,   1
    9274.987,   788,Finish(2),before,   2,   0,   1,   1,   1
    9274.987,   788,Finish(2), after,   3,   0,   0,   1,   1
    9275.374,   795,Finish(2),before,   2,   0,   0,   1,   1
    9275.374,   795,Finish(2), after,   2,   0,   0,   1,   0
    9282.537,   793,Finish(1),before,   1,   0,   0,   1,   0
    9282.537,   793,Finish(1), after,   2,   0,   0,   0,   1
    9332.078,   791,  Arrival,before,   1,   0,   0,   0,   1
    9332.078,   791,  Arrival, after,   3,   0,   0,   1,   1
    9337.227,   799,  Arrival,before,   2,   0,   0,   1,   1
    9337.227,   799,  Arrival, after,   3,   1,   0,   1,   1
    9343.831,   798,Finish(2),before,   2,   1,   0,   1,   1
    9343.831,   798,Finish(2), after,   2,   1,   0,   1,   0
    9345.923,   801,  Arrival,before,   1,   1,   0,   1,   0
    9345.923,   801,  Arrival, after,   2,   2,   0,   1,   0
    9357.078,   800,Finish(1),before,   1,   2,   0,   1,   0
    9357.078,   800,Finish(1), after,   3,   1,   0,   1,   1
    9372.838,   806,Finish(2),before,   2,   1,   0,   1,   1
    9372.838,   806,Finish(2), after,   2,   1,   0,   1,   0
    9382.078,   805,Finish(1),before,   1,   1,   0,   1,   0
    9382.078,   805,Finish(1), after,   3,   0,   0,   1,   1
    9407.078,   809,Finish(1),before,   2,   0,   0,   1,   1
    9407.078,   809,Finish(1), after,   2,   0,   1,   0,   1
    9425.371,   803,  Arrival,before,   1,   0,   1,   0,   1
    9425.371,   803,  Arrival, after,   3,   0,   1,   1,   1
    9450.371,   813,Finish(1),before,   2,   0,   1,   1,   1
    9450.371,   813,Finish(1), after,   2,   0,   2,   0,   1
    9451.922,   810,Finish(2),before,   1,   0,   2,   0,   1
    9451.922,   810,Finish(2), after,   2,   0,   1,   0,   1
    9484.426,   812,  Arrival,before,   1,   0,   1,   0,   1
    9484.426,   812,  Arrival, after,   3,   0,   1,   1,   1
    9509.426,   818,Finish(1),before,   2,   0,   1,   1,   1
    9509.426,   818,Finish(1), after,   2,   0,   2,   0,   1
    9546.944,   817,  Arrival,before,   1,   0,   2,   0,   1
    9546.944,   817,  Arrival, after,   3,   0,   2,   1,   1
    9571.944,   821,Finish(1),before,   2,   0,   2,   1,   1
    9571.944,   821,Finish(1), after,   2,   0,   3,   0,   1
    9596.902,   820,  Arrival,before,   1,   0,   3,   0,   1
    9596.902,   820,  Arrival, after,   3,   0,   3,   1,   1
    9608.119,   823,  Arrival,before,   2,   0,   3,   1,   1
    9608.119,   823,  Arrival, after,   3,   1,   3,   1,   1
    9621.902,   824,Finish(1),before,   2,   1,   3,   1,   1
    9621.902,   824,Finish(1), after,   3,   0,   4,   1,   1
    9646.902,   827,Finish(1),before,   2,   0,   4,   1,   1
    9646.902,   827,Finish(1), after,   3,   0,   4,   1,   1
    9660.159,   816,Finish(2),before,   2,   0,   4,   1,   1
    9660.159,   816,Finish(2), after,   3,   0,   3,   1,   1
    9660.159,   827,Finish(1),before,   2,   0,   3,   1,   1
    9660.159,   827,Finish(1), after,   2,   0,   4,   0,   1
    9661.200,   825,  Arrival,before,   1,   0,   4,   0,   1
    9661.200,   825,  Arrival, after,   3,   0,   4,   1,   1
    9683.103,   830,Finish(2),before,   2,   0,   4,   1,   1
    9683.103,   830,Finish(2), after,   3,   0,   3,   1,   1
    9686.200,   833,Finish(1),before,   2,   0,   3,   1,   1
    9686.200,   833,Finish(1), after,   2,   0,   4,   0,   1
    9714.014,   832,  Arrival,before,   1,   0,   4,   0,   1
    9714.014,   832,  Arrival, after,   3,   0,   4,   1,   1
    9739.014,   838,Finish(1),before,   2,   0,   4,   1,   1
    9739.014,   838,Finish(1), after,   3,   0,   4,   1,   1
    9770.494,   837,  Arrival,before,   2,   0,   4,   1,   1
    9770.494,   837,  Arrival, after,   3,   1,   4,   1,   1
    9770.494,   838,Finish(1),before,   2,   1,   4,   1,   1
    9770.494,   838,Finish(1), after,   3,   1,   4,   1,   1
    9798.721,   835,Finish(2),before,   2,   1,   4,   1,   1
    9798.721,   835,Finish(2), after,   3,   1,   3,   1,   1
    9798.721,   838,Finish(1),before,   2,   1,   3,   1,   1
    9798.721,   838,Finish(1), after,   3,   0,   4,   1,   1
    9823.011,   843,Finish(2),before,   2,   0,   4,   1,   1
    9823.011,   843,Finish(2), after,   3,   0,   3,   1,   1
    9823.721,   845,Finish(1),before,   2,   0,   3,   1,   1
    9823.721,   845,Finish(1), after,   2,   0,   4,   0,   1
    9839.708,   840,  Arrival,before,   1,   0,   4,   0,   1
    9839.708,   840,  Arrival, after,   3,   0,   4,   1,   1
    9864.708,   850,Finish(1),before,   2,   0,   4,   1,   1
    9864.708,   850,Finish(1), after,   3,   0,   4,   1,   1
    9864.840,   847,Finish(2),before,   2,   0,   4,   1,   1
    9864.840,   847,Finish(2), after,   3,   0,   3,   1,   1
    9864.840,   850,Finish(1),before,   2,   0,   3,   1,   1
    9864.840,   850,Finish(1), after,   2,   0,   4,   0,   1
    9918.599,   849,  Arrival,before,   1,   0,   4,   0,   1
    9918.599,   849,  Arrival, after,   3,   0,   4,   1,   1
    9943.599,   856,Finish(1),before,   2,   0,   4,   1,   1
    9943.599,   856,Finish(1), after,   3,   0,   4,   1,   1
    9994.428,   853,Finish(2),before,   2,   0,   4,   1,   1
    9994.428,   853,Finish(2), after,   3,   0,   3,   1,   1
    9994.428,   856,Finish(1),before,   2,   0,   3,   1,   1
    9994.428,   856,Finish(1), after,   2,   0,   4,   0,   1
   10040.948,   855,  Arrival,before,   1,   0,   4,   0,   1
   10040.948,   855,  Arrival, after,   3,   0,   4,   1,   1
